iso_code,continent,Country,date,Cases,Deaths,Population,Density,GDP,HDI,Score
GRC,Europe,Greece,2020-08-31,989.825,25.52,10423056.0,83.479,24574.382,0.888,50.0
GTM,North America,Guatemala,2020-08-31,4134.617,154.056,17915567.0,157.834,7423.808000000001,0.6629999999999999,25.0
GIN,Africa,Guinea,2020-08-31,716.451,4.493,13132792.0,51.755,1998.9260000000002,0.47700000000000004,28.0
GUY,South America,Guyana,2020-08-31,1660.3970000000002,49.583,786559.0,3.952,7435.047,0.682,41.0
HTI,North America,Haiti,2020-08-31,719.928,17.628,11402533.0,398.44800000000004,1653.1729999999998,0.51,18.0
HND,North America,Honduras,2020-08-31,6160.1630000000005,189.104,9904608.0,82.805,4541.795,0.634,24.0
HUN,Europe,Hungary,2020-08-31,635.484,63.662,9660350.0,108.04299999999999,26777.561,0.8540000000000001,44.0
ISL,Europe,Iceland,2020-08-31,6174.359,29.304000000000002,341250.0,3.404,46482.958,0.9490000000000001,75.0
IND,Asia,India,2020-08-31,2674.7490000000003,47.31,1380004385.0,450.41900000000004,6426.674,0.645,40.0
IDN,Asia,Indonesia,2020-08-31,639.053,27.116,273523621.0,145.725,11188.743999999999,0.718,37.0
IRN,Asia,Iran,2020-08-31,4467.184,256.819,83992953.0,49.831,19082.62,0.7829999999999999,25.0
IRQ,Asia,Iraq,2020-08-31,5840.86,175.076,40222503.0,88.125,15663.986,0.674,21.0
IRL,Europe,Ireland,2020-08-31,5834.789000000001,359.87699999999995,4937796.0,69.874,67335.293,0.955,72.0
ISR,Asia,Israel,2020-08-31,13506.493,110.103,8655541.0,402.606,33132.32,0.919,60.0
ITA,Europe,Italy,2020-08-31,4452.628,586.866,60461828.0,205.859,35220.084,0.892,53.0
JAM,North America,Jamaica,2020-08-31,830.418,7.0920000000000005,2961161.0,266.879,8193.571,0.7340000000000001,44.0
JPN,Asia,Japan,2020-08-31,540.78,10.263,126476458.0,347.778,39002.223,0.919,74.0
JOR,Asia,Jordan,2020-08-31,199.35,1.47,10203140.0,109.285,8337.49,0.7290000000000001,49.0
KAZ,Asia,Kazakhstan,2020-08-31,6959.314,94.852,18776707.0,6.681,24055.588,0.825,38.0
KEN,Africa,Kenya,2020-08-31,636.0459999999999,10.731,53771300.0,87.324,2993.028,0.601,31.0
KWT,Asia,Kuwait,2020-08-31,19929.221999999998,124.34,4270563.0,232.128,65530.537000000004,0.8059999999999999,42.0
KGZ,Asia,Kyrgyzstan,2020-08-31,6728.496999999999,162.166,6524191.0,32.333,3393.474,0.6970000000000001,31.0
LVA,Europe,Latvia,2020-08-31,740.112,18.026,1886202.0,31.212,25063.846,0.866,57.0
LBN,Asia,Lebanon,2020-08-31,2535.806,24.467,6825442.0,594.561,13367.565,0.7440000000000001,25.0
