iso_code,continent,Country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,Cases,new_cases_per_million,new_cases_smoothed_per_million,Deaths,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,Population,Density,GDP,HDI,Score,Region
IMN,Europe,Isle of Man,2021-04-30,,,,,,,,,,,,,,,,,,597.0,,,7021.0,85032.0,147.872,,,,Western Europe
ITA,Europe,Italy,2021-04-30,4022653.0,13445.0,12421.428999999998,120807.0,263.0,301.143,66532.11,222.372,205.442,1998.0710000000001,4.35,4.981,0.91,19975306.0,14069265.0,5965183.0,510637.0,397977.0,33.04,23.27,6582.0,60461828.0,205.859,35220.084,0.892,53.0,Southern Europe
OWID_KOS,Europe,Kosovo,2021-04-30,103638.0,0.0,131.143,2134.0,0.0,2.714,53621.375,0.0,67.852,1104.113,0.0,1.4040000000000001,0.82,,,,,,,,,1932774.0,168.155,9795.834,,36.0,Eastern Europe
LVA,Europe,Latvia,2021-04-30,118558.0,763.0,616.286,2131.0,6.0,5.2860000000000005,62855.41,404.517,326.73400000000004,1129.7839999999999,3.181,2.802,1.09,310362.0,257725.0,52793.0,9840.0,7769.0,16.45,13.66,4119.0,1886202.0,31.212,25063.846,0.866,57.0,Eastern Europe
LIE,Europe,Liechtenstein,2021-04-30,2926.0,5.0,10.142999999999999,57.0,0.0,0.0,76723.392,131.106,265.95799999999997,1494.612,0.0,0.0,1.08,,,,,,,,,38137.0,237.012,,0.919,,Western Europe
LTU,Europe,Lithuania,2021-04-30,247269.0,1373.0,1143.714,3923.0,7.0,12.857000000000001,90831.215,504.355,420.129,1441.066,2.571,4.723,1.09,980799.0,685175.0,295624.0,35199.0,15055.0,36.03,25.17,5530.0,2722291.0,45.135,29524.265,0.882,60.0,Eastern Europe
LUX,Europe,Luxembourg,2021-04-30,67205.0,160.0,171.143,796.0,2.0,0.857,107360.34599999999,255.601,273.402,1271.614,3.195,1.369,0.98,,,,,,,,,625976.0,231.447,94277.965,0.9159999999999999,80.0,Western Europe
MLT,Europe,Malta,2021-04-30,30292.0,16.0,23.285999999999998,413.0,0.0,0.14300000000000002,68605.491,36.236999999999995,52.738,935.365,0.0,0.324,0.65,335848.0,228810.0,107038.0,4410.0,4030.0,76.06,51.82,9127.0,441539.0,1454.037,36513.323,0.895,53.0,Southern Europe
MDA,Europe,Moldova,2021-04-30,250837.0,329.0,331.286,5812.0,17.0,17.285999999999998,62181.28400000001,81.558,82.124,1440.767,4.2139999999999995,4.285,0.64,147315.0,130218.0,17097.0,2198.0,3866.0,3.65,3.23,958.0,4033963.0,123.655,5189.972,0.75,34.0,Eastern Europe
MCO,Europe,Monaco,2021-04-30,2454.0,2.0,4.0,32.0,0.0,0.14300000000000002,62531.852,50.963,101.926,815.4110000000001,0.0,3.64,0.82,,,,,,,,,39244.0,19347.5,,,,Southern Europe
MNE,Europe,Montenegro,2021-04-30,97389.0,132.0,148.714,1495.0,3.0,5.428999999999999,155062.717,210.17,236.783,2380.3379999999997,4.777,8.642999999999999,0.85,61745.0,40156.0,21589.0,929.0,431.0,9.83,6.39,686.0,628062.0,46.28,16409.288,0.8290000000000001,45.0,Eastern Europe
NLD,Europe,Netherlands,2021-04-30,1522973.0,7808.0,7562.286,17398.0,26.0,21.857,88881.487,455.67900000000003,441.339,1015.3560000000001,1.517,1.276,0.92,,,,,,,,,17134873.0,508.54400000000004,48472.545,0.9440000000000001,82.0,Western Europe
MKD,Europe,North Macedonia,2021-04-30,152367.0,365.0,379.57099999999997,4855.0,37.0,32.429,73134.522,175.196,182.19,2330.348,17.76,15.565,0.6,61603.0,61603.0,,,2031.0,2.96,2.96,975.0,2083380.0,82.6,13111.214,0.774,35.0,Eastern Europe
NOR,Europe,Norway,2021-04-30,112970.0,429.0,415.57099999999997,756.0,2.0,2.8569999999999998,20838.398,79.133,76.656,139.451,0.369,0.527,0.85,,,,,,,,,5421242.0,14.462,64800.057,0.9570000000000001,84.0,Northern Europe
POL,Europe,Poland,2021-04-30,2792142.0,6789.0,7145.714,67502.0,429.0,399.286,73775.23,179.382,188.80700000000002,1783.568,11.335,10.55,0.6,,,,,229174.0,,,6055.0,37846605.0,124.027,27216.445,0.88,56.0,Eastern Europe
PRT,Europe,Portugal,2021-04-30,836493.0,460.0,442.286,16974.0,0.0,2.4290000000000003,82035.602,45.113,43.375,1664.655,0.0,0.23800000000000002,0.9,3283985.0,2402501.0,881462.0,80807.0,55253.0,32.21,23.56,5419.0,10196707.0,112.37100000000001,27936.896,0.8640000000000001,61.0,Southern Europe
ROU,Europe,Romania,2021-04-30,1055265.0,1636.0,1820.5710000000001,28109.0,138.0,142.286,54854.062000000005,85.041,94.63600000000001,1461.1429999999998,7.172999999999999,7.396,0.66,5240452.0,3303419.0,1937033.0,78612.0,82147.0,27.24,17.17,4270.0,19237682.0,85.12899999999999,23313.199,0.828,44.0,Eastern Europe
RUS,Europe,Russia,2021-04-30,4750755.0,8613.0,8495.0,108290.0,388.0,367.42900000000003,32554.031000000003,59.02,58.211000000000006,742.045,2.659,2.5180000000000002,1.0,19834392.0,12299770.0,7534622.0,310531.0,328367.0,13.59,8.43,2250.0,145934460.0,8.823,24765.953999999998,0.8240000000000001,30.0,Eastern Europe
SMR,Europe,San Marino,2021-04-30,5066.0,6.0,2.714,90.0,0.0,0.14300000000000002,149272.202,176.793,79.97800000000001,2651.895,0.0,4.209,0.52,,,,,,,,,33938.0,556.6669999999999,56861.47,,,Southern Europe
SRB,Europe,Serbia,2021-04-30,689557.0,1613.0,1950.4289999999999,6362.0,25.0,28.285999999999998,101336.94900000001,237.046,286.634,934.956,3.674,4.157,0.75,3514605.0,2026571.0,1488034.0,,45951.0,51.65,29.78,6753.0,6804596.0,80.291,14048.881000000001,0.8059999999999999,38.0,Eastern Europe
SVK,Europe,Slovakia,2021-04-30,382211.0,467.0,510.85699999999997,11684.0,37.0,39.857,70006.592,85.537,93.57,2140.067,6.777,7.3,0.79,1588223.0,1084822.0,503401.0,24420.0,21769.0,29.09,19.87,3987.0,5459643.0,113.12799999999999,30155.152000000002,0.86,49.0,Eastern Europe
SVN,Europe,Slovenia,2021-04-30,240292.0,953.0,654.429,4250.0,7.0,7.857,115584.34800000001,458.408,314.791,2044.319,3.367,3.779,0.96,631102.0,425190.0,205912.0,19740.0,6947.0,30.36,20.45,3342.0,2078932.0,102.619,31400.84,0.917,60.0,Eastern Europe
ESP,Europe,Spain,2021-04-30,3524077.0,9135.0,7922.857,78216.0,136.0,89.286,75373.615,195.38099999999997,169.456,1672.898,2.909,1.91,1.03,,,,,,,,,46754783.0,93.105,34272.36,0.904,62.0,Southern Europe
SWE,Europe,Sweden,2021-04-30,973604.0,5926.0,5037.286,14048.0,46.0,17.857,96403.403,586.775,498.777,1390.9920000000002,4.555,1.768,1.05,3266894.0,2511121.0,755773.0,123960.0,67159.0,32.35,24.86,6650.0,10099270.0,24.718000000000004,46949.282999999996,0.945,85.0,Northern Europe
CHE,Europe,Switzerland,2021-04-30,659974.0,1831.0,1923.5710000000001,10632.0,7.0,9.429,76256.86099999999,211.563,222.26,1228.4769999999999,0.809,1.089,1.01,,,,,,,,,8654618.0,214.243,57410.166,0.955,85.0,Western Europe
UKR,Europe,Ukraine,2021-04-30,2124070.0,10190.0,9395.571,45923.0,316.0,348.57099999999997,48568.200999999994,233.00099999999998,214.83599999999998,1050.058,7.226,7.97,0.75,752553.0,752293.0,260.0,49985.0,32881.0,1.72,1.72,752.0,43733759.0,77.39,7894.393,0.779,33.0,Eastern Europe
GBR,Europe,United Kingdom,2021-04-30,4432246.0,2397.0,2236.857,127775.0,16.0,19.570999999999998,65289.54,35.309,32.95,1882.1989999999998,0.23600000000000002,0.28800000000000003,0.91,49319518.0,34362205.0,14957313.0,567374.0,529487.0,72.65,50.62,7800.0,67886004.0,272.89799999999997,39753.244,0.932,77.0,Western Europe
VAT,Europe,Vatican,2021-04-30,27.0,0.0,0.0,,,0.0,33374.536,0.0,0.0,,,0.0,,,,,,,,,,809.0,,,,,Southern Europe
,,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,
,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,
,,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,
,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,
,,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,
,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,
,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,
,,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,
,,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,
,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,
,,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,
,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,
,,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,
,,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,
,,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,
,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,
