,iso_code,continent,Country,date,Cases,Deaths,Vaxxed,GDP,HDI,Score,Rank
58,DEU,Europe,Germany,2021-04-27,39847.3,982.587,,45229.245,0.9470000000000001,80.0,9.0
59,GHA,Africa,Ghana,2021-04-27,2975.708,25.07,,4227.63,0.611,43.0,75.0
60,GRC,Europe,Greece,2021-04-27,32401.534,976.585,8.45,24574.382,0.888,50.0,59.0
61,GRD,North America,Grenada,2021-04-27,1413.095,8.887,,13593.877,0.779,53.0,52.0
62,GTM,North America,Guatemala,2021-04-27,12448.671,416.00699999999995,,7423.808000000001,0.6629999999999999,25.0,149.0
63,GIN,Africa,Guinea,2021-04-27,1678.6989999999998,10.735999999999999,,1998.9260000000002,0.47700000000000004,28.0,137.0
64,GUY,South America,Guyana,2021-04-27,16306.469,369.966,,7435.047,0.682,41.0,83.0
65,HTI,North America,Haiti,2021-04-27,1140.01,22.188000000000002,,1653.1729999999998,0.51,18.0,170.0
66,HND,North America,Honduras,2021-04-27,20931.671000000002,524.3009999999999,,4541.795,0.634,24.0,157.0
67,HKG,Asia,Hong Kong,2021-04-27,,,6.06,56054.92,0.9490000000000001,77.0,11.0
68,HUN,Europe,Hungary,2021-04-27,79987.475,2793.2740000000003,18.36,26777.561,0.8540000000000001,44.0,69.0
69,ISL,Europe,Iceland,2021-04-27,18892.308,84.98200000000001,,46482.958,0.9490000000000001,75.0,17.0
70,IND,Asia,India,2021-04-27,13041.345,145.787,1.71,6426.674,0.645,40.0,86.0
71,IDN,Asia,Indonesia,2021-04-27,6038.945,164.297,2.64,11188.743999999999,0.718,37.0,102.0
72,IRN,Asia,Iran,2021-04-27,29028.542,839.737,,19082.62,0.7829999999999999,25.0,149.0
73,IRQ,Asia,Iraq,2021-04-27,25980.73,381.577,,15663.986,0.674,21.0,160.0
74,IRL,Europe,Ireland,2021-04-27,50121.35,989.105,,67335.293,0.955,72.0,20.0
75,ISR,Asia,Israel,2021-04-27,96841.665,734.674,58.63,33132.32,0.919,60.0,35.0
76,ITA,Europe,Italy,2021-04-27,65851.664,1983.2679999999998,8.98,35220.084,0.892,53.0,52.0
77,JAM,North America,Jamaica,2021-04-27,15268.336000000001,259.02,,8193.571,0.7340000000000001,44.0,69.0
78,JPN,Asia,Japan,2021-04-27,4561.085999999999,79.311,0.75,39002.223,0.919,74.0,19.0
79,JOR,Asia,Jordan,2021-04-27,69229.178,853.365,,8337.49,0.7290000000000001,49.0,60.0
80,KAZ,Asia,Kazakhstan,2021-04-27,19529.995,177.13400000000001,0.98,24055.588,0.825,38.0,94.0
81,KEN,Africa,Kenya,2021-04-27,2928.923,49.562,,2993.028,0.601,31.0,124.0
82,OWID_KOS,Europe,Kosovo,2021-04-27,53621.375,1104.113,,9795.834,,36.0,104.0
83,KWT,Asia,Kuwait,2021-04-27,63148.817,359.43699999999995,,65530.537000000004,0.8059999999999999,42.0,78.0
84,KGZ,Asia,Kyrgyzstan,2021-04-27,14450.374,243.555,,3393.474,0.6970000000000001,31.0,124.0
85,LAO,Asia,Laos,2021-04-27,70.235,,,6397.36,0.613,29.0,134.0
86,LVA,Europe,Latvia,2021-04-27,61569.227,1118.65,2.23,25063.846,0.866,57.0,42.0
87,LBN,Asia,Lebanon,2021-04-27,76590.351,1054.437,2.28,13367.565,0.7440000000000001,25.0,149.0
88,LSO,Africa,Lesotho,2021-04-27,5007.814,147.50799999999998,,2851.153,0.527,41.0,83.0
89,LBR,Africa,Liberia,2021-04-27,414.815,16.805999999999997,,752.788,0.48,28.0,137.0
90,LBY,Africa,Libya,2021-04-27,25650.799,438.055,,17881.509,0.7240000000000001,17.0,173.0
91,LTU,Europe,Lithuania,2021-04-27,89235.868,1424.168,9.19,29524.265,0.882,60.0,35.0
92,LUX,Europe,Luxembourg,2021-04-27,106384.27,1263.627,,94277.965,0.9159999999999999,80.0,9.0
93,MDG,Africa,Madagascar,2021-04-27,1306.922,22.173000000000002,,1416.44,0.528,25.0,149.0
94,MWI,Africa,Malawi,2021-04-27,1778.9379999999999,59.958,,1095.042,0.483,30.0,129.0
95,MYS,Asia,Malaysia,2021-04-27,12310.79,45.17100000000001,1.62,26808.164,0.81,51.0,57.0
96,MDV,Asia,Maldives,2021-04-27,52887.657,131.35,,15183.616000000002,0.74,43.0,75.0
97,MLI,Africa,Mali,2021-04-27,677.602,23.505,,2014.306,0.434,30.0,129.0
98,MLT,Europe,Malta,2021-04-27,68474.133,935.365,,36513.323,0.895,53.0,52.0
99,MRT,Africa,Mauritania,2021-04-27,3938.783,97.85700000000001,,3597.633,0.546,29.0,134.0
100,MUS,Africa,Mauritius,2021-04-27,948.2869999999999,13.367,,20292.745,0.804,53.0,52.0
101,MEX,North America,Mexico,2021-04-27,18095.681,1671.7779999999998,4.73,17336.468999999997,0.779,31.0,124.0
102,MDA,Europe,Moldova,2021-04-27,61902.898,1428.372,0.32,5189.972,0.75,34.0,115.0
103,MNG,Asia,Mongolia,2021-04-27,9894.482,26.843000000000004,8.01,11840.846000000001,0.737,35.0,111.0
104,MNE,Europe,Montenegro,2021-04-27,154331.897,2353.271,3.25,16409.288,0.8290000000000001,45.0,67.0
105,MAR,Africa,Morocco,2021-04-27,13816.426000000001,243.968,11.47,7485.013000000001,0.6859999999999999,40.0,86.0
106,MOZ,Africa,Mozambique,2021-04-27,2231.996,26.043000000000003,,1136.103,0.456,25.0,149.0
107,MMR,Asia,Myanmar,2021-04-27,2623.425,58.942,,5591.597,0.583,28.0,137.0
108,NAM,Africa,Namibia,2021-04-27,18895.154,249.516,,9541.808,0.6459999999999999,51.0,57.0
109,NPL,Asia,Nepal,2021-04-27,10568.248,109.62100000000001,,2442.804,0.602,33.0,117.0
110,NLD,Europe,Netherlands,2021-04-27,87412.728,1011.2710000000001,,48472.545,0.9440000000000001,82.0,8.0
111,NZL,Oceania,New Zealand,2021-04-27,541.036,5.392,1.24,36085.843,0.9309999999999999,88.0,1.0
112,NIC,North America,Nicaragua,2021-04-27,1041.278,27.474,,5321.444,0.66,22.0,159.0
113,NER,Africa,Niger,2021-04-27,215.643,7.89,,926.0,0.39399999999999996,32.0,123.0
114,NGA,Africa,Nigeria,2021-04-27,800.002,10.008,,5338.454000000001,0.539,25.0,149.0
115,MKD,Europe,North Macedonia,2021-04-27,72536.935,2276.109,,13111.214,0.774,35.0,111.0
116,NOR,Europe,Norway,2021-04-27,20601.552,135.762,,64800.057,0.9570000000000001,84.0,7.0
117,OMN,Asia,Oman,2021-04-27,37480.354,390.082,,37960.709,0.813,54.0,49.0
118,PAK,Asia,Pakistan,2021-04-27,3667.991,79.36,,5034.708,0.557,31.0,124.0
119,PAN,North America,Panama,2021-04-27,84253.19699999999,1440.634,4.36,22267.037,0.815,35.0,111.0
120,PNG,Oceania,Papua New Guinea,2021-04-27,1211.017,11.735999999999999,,3823.1940000000004,0.555,27.0,142.0
121,PRY,South America,Paraguay,2021-04-27,38109.058,854.395,,8827.01,0.728,28.0,137.0
122,PER,South America,Peru,2021-04-27,53627.14599999999,1820.129,,12236.706,0.777,38.0,94.0
123,PHL,Asia,Philippines,2021-04-27,9249.936,154.37,0.23,7599.188,0.718,34.0,115.0
124,POL,Europe,Poland,2021-04-27,73138.238,1741.16,7.26,27216.445,0.88,56.0,45.0
125,PRT,Europe,Portugal,2021-04-27,81888.3,1664.263,8.18,27936.896,0.8640000000000001,61.0,33.0
126,QAT,Asia,Qatar,2021-04-27,70668.087,153.069,,116935.6,0.848,63.0,30.0
